"cLabel","cDesc","cSize","cGenes"
"Cortex.Adolescence","Cortex.Adolescence",67,"NOS2,ADRB1,GLP2R,CAMK2A,PTGS2,MAST3,SIRPB1,HTR2A,AQP9,PDE4C,GALNTL5,PKD2L1,PRSS16,RASGRF2,VIPR1,KCNIP3,SMYD1,FHL2,OPRD1,RGS4,MPL,TNNT2,KCNS1,NPBWR2,FOSB,MCHR1,SYTL2,TRIM54,ZNF365,ABCC12,STAC2,FBLN7,HTR3B,SLC22A9,MKX,MCHR2,KIF5A,ETS2,CABP1,EXTL1,ASGR2,SLC25A45,RHO,TMEM155,SOHLH1,LY6D,EVPL,RXFP1,PAH,THEMIS,MFSD4,NPAS4,PCSK1,EIF4E1B,CREG2,GCNT4,GPR150,HTR1F,EGR3,FREM3,GRIN2A,KCNQ5,CALHM1,FMN1,OR14I1,DUSP27,TWIST2"
"Cortex.Early.Childhood","Cortex.Early.Childhood",24,"HGF,DUSP13,SLC26A4,GSG1,COL10A1,OVOL2,GPNMB,RGR,GRASP,TMEM155,NNMT,PRRX2,LY6D,TCAP,DES,NPPA,GRIN2A,NPBWR1,SERPINA11,PLAC9,DLGAP2,ARC,TWIST2,GSTA1"
"Cortex.Early.Fetal","Cortex.Early.Fetal",202,"NFYA,THSD7A,TKTL1,ST3GAL1,DEPDC1,UHRF1,DEPDC1B,RAI14,LMO3,SYNE2,ITGB3,LZTS1,SEZ6,DMRT3,CDON,MCM10,ANKRD44,ASPM,EML1,KIF26A,ALPK1,IGF2BP2,SEMA3A,CELSR1,CTTNBP2,DCT,EPYC,IGSF9,TFAP2C,EFNB1,CYP26A1,PLA2G3,VRK1,MID1,CRHR2,AGR2,GLI3,TGFBR1,OGN,SORCS1,SULT1E1,NEIL3,NCAPG,SLC35F2,MDM1,NEDD9,BACH2,HIST1H3F,LMNB1,NPR3,CBLB,FRMD4B,COMMD2,PDE1A,OTX1,PAPPA2,AKT3,SATB2,BCL11A,TSHZ3,MED13L,NEUROD4,HIST1H1D,HIST1H3B,SOX4,ABCC4,EFNB2,SIX1,DLGAP5,BCL11B,ADM2,LIF,E2F8,FAM64A,SGOL1,MLLT4,KRT34,GPR12,MYCN,SOX5,SOX3,RNF138,EPHA7,EMX1,ZNF670,IGF2BP3,BRIP1,TBR1,IGFBPL1,HCRTR2,SLCO5A1,TMPRSS13,CEP55,KIF20B,NAB1,FAM117B,NDST4,FBN2,SLC5A8,FOXN4,BRCA2,PELI2,DMRTA2,IGSF3,XPR1,DTL,VASH2,OSR1,AFF3,GADL1,OSBPL10,EPHA5,TIFA,CCNA2,PDGFC,SSBP2,TIAM2,ST18,NFIB,USP6NL,MKI67,CHEK1,HMGA2,KLHL1,ADRA2A,SETBP1,SPC25,PRDM8,BMP3,NR4A2,FEZF2,C10orf12,SLA,FGF18,AUTS2,IGF2BP1,SCUBE1,NFIA,VANGL2,IER5,C2orf48,STT3B,PPM1L,GRIK3,PRRC1,NEUROD6,CDCA7L,DACT1,MYO5B,HIST1H2BI,SERINC2,MYL1,FAM84B,CKAP2L,ZFPM2,SIX2,KRT13,NEUROD2,RRM2,ZNF217,FRMD3,GPR22,DAB1,GPR156,FZD8,GSG2,ZNF354C,LCORL,NEUROG2,HIST1H3G,KCTD12,AURKB,ALX1,GAS1,PLAG1,NEUROG1,HIST1H2AJ,PRKX,CDCA2,FOXD2,MPPED1,ERCC6L,DCC,LIN28B,GPR21,FAT4,LCOR,HIST1H3C,XRCC2,ZNF257,HIST1H3J,PELI1,COL4A6,KLHL14,HIST1H2AL,ARHGAP11A,CHML,CD177,ARID3C,HBE1,EBF2,ZNF492"
"Cortex.Early.Mid.Fetal","Cortex.Early.Mid.Fetal",139,"NFYA,NFIX,ST3GAL1,LMO3,ITGB3,LZTS1,SEZ6,LIMCH1,ANKRD44,EML1,KIF26A,TBX21,SEMA3A,SEMA3C,PLXNA2,CTTNBP2,DCX,MEF2C,NKAIN1,CYP26A1,CARD10,TTC28,PNPLA3,DOK5,NTSR1,PAK7,GLRA2,HAS3,SORCS1,SLC35F2,BCL7A,NEDD9,BACH2,SOBP,NPR3,CBLB,FRMD4B,PAPPA2,SATB2,BCL11A,TSHZ3,SOX4,EFNB2,OTOR,BCL11B,DYRK2,ADM2,MLLT4,KRT34,GPR12,SYT6,MYCN,SOX5,NHSL1,TBR1,HCRTR2,TMPRSS13,THBS1,SLC44A5,FAM117B,SLC5A8,TLE3,ASXL3,DOPEY2,IGSF3,XPR1,VASH2,CEP170,AFF3,GADL1,OSBPL10,IL17RD,TMEM108,SSBP2,TIAM2,ATXN7L1,NFIB,ZNF462,USP6NL,KLHL1,ADRA2A,PTPRO,PRDM8,STK32B,NR4A2,FEZF2,SLA,FGF18,UNC5D,AUTS2,SCUBE1,SPRR2D,PPM1L,GRIK3,NEUROD6,DACT1,AVPR1A,NAV2,ISLR2,MYO5B,MN1,ZEB2,NEUROD2,BCL2,MLLT3,FRMD3,DAB1,GPR64,PDIK1L,CSRP2,TP53I11,ZSCAN2,SOX11,ZBTB34,RPRM,HTR1A,NEUROG2,KCTD12,RNF182,CCBE1,MEX3B,POU3F2,NELL2,FLRT2,PBX1,TAL2,MPPED1,GPR21,FAT4,ZNF124,PFN3,SRGAP1,DPP4,KLHL14,TOX,RORB,SCRT2,SIAH3,PLXNA4"
"Cortex.Late.Fetal","Cortex.Late.Fetal",73,"PROM1,MYO16,C2orf83,ARHGAP15,ACTN2,MEF2C,TGFB2,CYP26A1,PCDH11Y,GRAP2,DOK5,NTSR1,PROKR2,KLHL4,PCDH11X,CNTNAP3,SLC35F2,RBM24,CYTIP,ACTL8,SATB2,TSHZ3,C20orf195,RASL11B,KRT34,GRP,TBR1,THBS1,SLC44A5,SSTR1,LMO4,ACTA1,TMEM108,RASGEF1C,KLHL1,ADRA2A,STK32B,SLA,ADAMTSL3,FAM81A,CD1D,SCUBE1,CLDN1,NPY1R,NEUROD6,DACT1,ISLR2,NPNT,GPRIN1,SLN,SOSTDC1,KIAA1239,C4orf32,CSRP2,LPL,MC5R,FAM109B,RPRM,TMEM102,CCBE1,TAL2,EDARADD,MPPED1,OR7D2,NKAIN2,OSTN,STK31,KLHL14,MYL4,L3MBTL3,METTL11B,MAFB,CD177"
"Cortex.Late.Infancy","Cortex.Late.Infancy",25,"ARHGAP10,PTGS2,DUSP13,PPEF1,GSG1,RERGL,TMEM156,G0S2,KRT17,LY96,NNMT,PRRX2,RXFP1,HSPA6,GPR160,TCAP,NPPA,LCN15,SERPINA11,OSTN,PLAC9,STK31,ARC,CARD16,GSTA1"
"Cortex.Late.Mid.Fetal","Cortex.Late.Mid.Fetal",83,"PROM1,ST3GAL1,SNAI2,MYO16,LPAR2,SEMA3C,ARHGAP15,ACTN2,MEF2C,TMEM40,CYP26A1,TTC28,PNPLA3,GRAP2,DOK5,NTSR1,NOL4,IL7,BBC3,CUX2,TBC1D30,RBM24,SOBP,AKAP7,SATB2,TRIM67,TSHZ3,CSMD2,C20orf195,OTOR,CCL25,KRT34,GRP,THBS1,SLC44A5,ADAMTS10,FBN3,ATXN7L1,KLHL1,ADRA2A,PTPRK,STK32B,SLA,ADAMTSL3,FAM81A,CD1D,SCUBE1,VAV2,AIM2,ADAMTS9,NPY1R,FABP7,NEUROD6,DACT1,GNG8,NPNT,CXXC4,SOSTDC1,NEUROD2,AZU1,KIAA1239,C4orf32,CSRP2,RPRM,SOX12,HES7,GJC1,CCBE1,GPR132,TAL2,EDARADD,CEACAM19,MPPED1,NKAIN2,STK31,PFN3,DPP4,DNAH10,KLHL14,L3MBTL3,METTL11B,LOR,PLXNA4"
"Cortex.Middle...Late.Childhood","Cortex.Middle...Late.Childhood",59,"DUSP13,RS1,HTR2A,AQP9,HAMP,GALNTL5,PKD2L1,HLF,PRSS16,SMYD1,AGMAT,RGS4,MPL,ELL2,CD244,KCNS1,NPBWR2,KRT17,CHN1,ITPKA,ABCC12,DPT,CASQ1,FBLN7,VIP,HTR3B,MKX,TDO2,MCHR2,CABP1,PADI4,ASGR2,RHO,TMEM155,SLC39A2,PRAP1,NNMT,LAIR2,LY6D,HSPB3,HOPX,RXFP1,PAH,EPHX4,MUCL1,THEMIS,PCSK1,GCNT4,LCN15,FMN1,CCK,OR14I1,GJB5,S100A5,C16orf47,SERPINB2,PLN,SH2D1B,GSTA1"
"Cortex.Neonatal...Early.Infancy","Cortex.Neonatal...Early.Infancy",64,"CX3CL1,NOS2,KCNG1,BARX2,DUSP13,PPEF1,PCDH11Y,PRPS2,STX1A,TFR2,PKD2L1,GSG1,SLC30A3,GDA,FABP3,CD244,HS3ST2,KIAA1045,OVOL2,FAM83C,KRT33B,NMUR2,FAM83F,DSG3,APC,WNT10A,NOV,PAK6,SSTR1,CYP1A1,PROK1,CRHBP,VIP,ST14,MMP3,TMEM132D,MCHR2,MEPE,ABI3BP,MAPK13,CREB3L1,LMOD3,TMEM155,NGB,TAC3,SCARA5,PNOC,HFE2,CHRM1,MYRIP,RXFP1,TCAP,KIAA1239,NPPA,PRR15,EXD1,FAM19A1,NPBWR1,FAM110C,SERPINA11,OSTN,STK31,FGF16,FAM163B"
"Cortex.Young.Adulthood","Cortex.Young.Adulthood",112,"CAMKK1,CAMK1G,SLC45A4,MCF2L2,GLP2R,KCNAB2,CAMK2A,RPH3A,P2RX6,PNPLA5,ASB2,HTR2A,SEC14L5,AQP9,MET,PKD2L1,HLF,ZBTB16,PRSS16,RASGRF2,VIPR1,SMYD1,OPRD1,RGS4,HSD11B1,TNNT2,PPL,SEC16B,KCNS1,PACSIN1,NPBWR2,OVOL2,APOL2,SYTL2,TRIM54,ZNF365,STAT4,PDE6H,VAMP1,SLC24A4,STAC2,KCNH1,GDF7,FBLN7,PTH2R,IQSEC1,SHC3,HTR3B,SLC22A9,MKX,THRB,TDO2,MCHR2,LRRK1,KIF5A,MAPK13,STEAP2,MUM1L1,ETS2,CABP1,EXTL1,KCNB1,ASGR2,CCDC64B,SLC25A45,VSNL1,DNAJC5G,FBXO40,RHO,TMEM155,HCN1,TRPV6,SOHLH1,CORO6,LY6D,EVPL,LGI3,LUZP1,TPPP,RXFP1,PAH,MUCL1,THEMIS,GLIS1,PCSK1,EIF4E1B,CREG2,KLHL38,CIDEA,GCNT4,KCNA2,GPR150,C17orf96,UTS2R,FAM153B,GRIN2A,PNMA3,NPW,PKP3,SV2B,KCNQ5,CALHM1,FMN1,HAPLN4,OR14I1,THEM5,S100A5,SCN8A,DLGAP2,IGFL4,NCKIPSD,PI4KA"
