Region,PC1
L_bankssts,0.508157712
L_caudalanteriorcingulate,0.262918103
L_caudalmiddlefrontal,0.671008853
L_cuneus,0.465103753
L_entorhinal,0.229880083
L_fusiform,0.589129397
L_inferiorparietal,0.726062452
L_inferiortemporal,0.520613915
L_isthmuscingulate,0.305457076
L_lateraloccipital,0.646667392
L_lateralorbitofrontal,0.55970123
L_lingual,0.51835911
L_medialorbitofrontal,0.394610864
L_middletemporal,0.594610711
L_parahippocampal,0.224034964
L_paracentral,0.617956525
L_parsopercularis,0.635803715
L_parsorbitalis,0.479141962
L_parstriangularis,0.568801641
L_pericalcarine,0.378330641
L_postcentral,0.62577107
L_posteriorcingulate,0.400723901
L_precentral,0.651986789
L_precuneus,0.723547057
L_rostralanteriorcingulate,0.344703925
L_rostralmiddlefrontal,0.692416998
L_superiorfrontal,0.716509346
L_superiorparietal,0.691501474
L_superiortemporal,0.651436861
L_supramarginal,0.750040696
L_frontalpole,0.345912304
L_temporalpole,0.317529169
L_transversetemporal,0.480945006
L_insula,0.47850524
R_bankssts,0.529945237
R_caudalanteriorcingulate,0.249485484
R_caudalmiddlefrontal,0.646013307
R_cuneus,0.487507465
R_entorhinal,0.228191116
R_fusiform,0.614484457
R_inferiorparietal,0.748454062
R_inferiortemporal,0.568141836
R_isthmuscingulate,0.300305331
R_lateraloccipital,0.675185894
R_lateralorbitofrontal,0.542249928
R_lingual,0.542687874
R_medialorbitofrontal,0.3953389
R_middletemporal,0.635469752
R_parahippocampal,0.286185654
R_paracentral,0.617871882
R_parsopercularis,0.59804544
R_parsorbitalis,0.472461906
R_parstriangularis,0.576651007
R_pericalcarine,0.371122978
R_postcentral,0.55874193
R_posteriorcingulate,0.408778369
R_precentral,0.580412216
R_precuneus,0.737949521
R_rostralanteriorcingulate,0.280356709
R_rostralmiddlefrontal,0.646150103
R_superiorfrontal,0.694336845
R_superiorparietal,0.693903959
R_superiortemporal,0.670406686
R_supramarginal,0.744283829
R_frontalpole,0.332102298
R_temporalpole,0.324553236
R_transversetemporal,0.466962516
R_insula,0.488790388
